user_ID, used_time, page_num
day1
5, 539, 22
11, 520, 35
5, 1193, 12
8, 941, 16
7, 511, 36
5, 355, 30
14, 18, 8
9, 1067, 17
4, 93, 6
12, 1309, 40
12, 795, 25
15, 1058, 20
9, 1183, 17
5, 1088, 2
1, 1019, 15
12, 945, 30
9, 858, 28
12, 320, 44
5, 1385, 11
12, 1160, 14
6, 1169, 47
15, 381, 9
5, 151, 31
15, 601, 26
15, 1049, 32
13, 445, 4
15, 654, 31
9, 457, 44
9, 246, 37
2, 1101, 8
2, 93, 9
9, 420, 31
7, 380, 26
10, 1431, 1
2, 1222, 43
9, 1173, 50
4, 524, 4
14, 118, 38
13, 472, 21
14, 1424, 43
9, 397, 4
2, 240, 2
13, 516, 17
7, 336, 36
9, 1424, 14
2, 571, 40
8, 997, 43
15, 1141, 43
3, 343, 33
2, 513, 28
1, 1030, 35
6, 1367, 15
13, 678, 21
12, 275, 30
6, 706, 26
11, 1076, 37
7, 1076, 50
9, 1247, 13
3, 1366, 17
5, 605, 6
9, 11, 49
1, 1300, 33
9, 415, 31
7, 151, 32
5, 60, 15
4, 224, 1
5, 1144, 15
13, 262, 46
10, 735, 32
9, 1169, 11
7, 987, 11
9, 1282, 41
9, 328, 36
14, 555, 45
10, 171, 50
3, 1060, 25
15, 338, 37
4, 838, 1
15, 1396, 9
5, 309, 33
6, 938, 26
4, 157, 30
11, 613, 5
3, 73, 47
15, 125, 49
8, 932, 38
12, 331, 20
1, 179, 14
5, 4, 8
14, 1412, 19
15, 140, 3
5, 195, 33
4, 72, 14
8, 237, 27
8, 580, 32
11, 778, 19
10, 299, 16
4, 475, 17
8, 222, 4
2, 1176, 47
12, 100, 34
11, 839, 27
5, 404, 50
6, 66, 45
15, 1224, 50
2, 700, 4
7, 697, 8
2, 1258, 42
15, 649, 11
10, 437, 26
12, 1271, 31
13, 1374, 28
13, 192, 24
4, 977, 42
9, 774, 35
15, 184, 22
9, 389, 9
7, 945, 6
4, 342, 10
11, 66, 18
3, 1309, 15
10, 1375, 18
4, 966, 29
8, 1049, 34
15, 1183, 20
14, 1382, 49
3, 837, 26
9, 1041, 44
7, 837, 39
10, 390, 21
10, 626, 44
10, 988, 37
6, 1301, 47
6, 431, 30
8, 734, 5
13, 1277, 6
14, 779, 18
10, 808, 13
8, 934, 2
2, 57, 47
14, 1266, 16
11, 231, 21
12, 984, 22
10, 329, 5
10, 805, 13
7, 891, 38
4, 242, 6
2, 1249, 19
13, 539, 22
7, 1263, 11
5, 1418, 3
10, 677, 14
14, 1257, 44
12, 121, 42
10, 59, 13
3, 1313, 26
11, 694, 7
10, 374, 7
10, 76, 16
9, 677, 31
7, 689, 50
2, 986, 16
13, 451, 49
7, 1343, 40
4, 1124, 12
7, 707, 5
4, 229, 36
2, 860, 43
8, 466, 43
13, 1280, 22
10, 899, 46
6, 402, 16
7, 1033, 14
15, 584, 21
1, 779, 49
7, 251, 9
11, 1033, 29
2, 1027, 16
7, 505, 38
4, 852, 3
13, 1126, 26
3, 682, 30
2, 194, 41
8, 184, 1
7, 1122, 19
14, 922, 26
1, 1260, 14
15, 265, 7
14, 495, 43
1, 1406, 30
3, 213, 24
day2
1, 457, 6
4, 992, 4
